"order_id";"customer_id";"product_id";"quantity";"unit_price";"order_date";"delivery_status";"payment_method";"region";"discount_applied";"email";"signup_date";"gender";"loyalty_tier";"product_name";"category";"launch_date";"base_price";"supplier_code";"revenue"
"O690808";"C00001";"P0024";5;21.12;"2006-07-25";"Cancelled";"Bank transfer";"Central";0.0;"shaneramirez@gmail.com";"2026-04-25";"Male";"Silver";"Storage Product 87";"Storage";"2024-02-25";26.33;"S558";105.6
"O463352";"C00001";"P0017";3;40.78;"2006-07-25";"Delayed";"Credit card";"South";0.15;"shaneramirez@gmail.com";"2026-04-25";"Male";"Silver";"Personal Care Product 11";"Personal Care";"2016-12-24";16.46;"S594";103.99
"O681027";"C00001";"P0029";3;28.47;"2006-07-25";"Delayed";"Paypal";"Central";0.15;"shaneramirez@gmail.com";"2026-04-25";"Male";"Silver";"Cleaning Product 69";"Cleaning";"2015-03-25";23.41;"S424";72.6
"O624423";"C00002";"P0028";4;47.75;"2006-07-25";"Delivered";"Bank transfer";"South";0.2;"jpeterson@bernard.com";"2011-08-24";"Female";"Gold";"Outdoors Product 53";"Outdoors";"2010-04-25";34.28;"S587";152.8
"O967986";"C00002";"P0026";3;41.19;"2006-07-25";"Delayed";"Bank transfer";"North";0.0;"jpeterson@bernard.com";"2011-08-24";"Female";"Gold";"Storage Product 50";"Storage";"2008-02-25";27.06;"S952";123.57
"O857899";"C00002";"P0010";2;28.47;"2006-07-25";"Delayed";"Credit card";"Central";0.1;"jpeterson@bernard.com";"2011-08-24";"Female";"Gold";"Cleaning Product 70";"Cleaning";"2014-08-24";17.72;"S321";51.25
"O891037";"C00002";"P0014";3;28.65;"2006-07-25";"Delayed";"Credit card";"Central";0.05;"jpeterson@bernard.com";"2011-08-24";"Female";"Gold";"Outdoors Product 91";"Outdoors";"2002-02-25";13.22;"S876";81.65
"O547134";"C00003";"P0011";5;33.74;"2006-07-25";"Delivered";"Paypal";"South";0.2;"howardmaurice@yahoo.com";"2015-05-25";"Male";"Gold";"Kitchen Product 53";"Kitchen";"2025-03-25";11.08;"S645";134.96
"O131396";"C00003";"P0017";2;47.23;"2006-07-25";"Delayed";"Bank transfer";"Central";0.05;"howardmaurice@yahoo.com";"2015-05-25";"Male";"Gold";"Personal Care Product 11";"Personal Care";"2016-12-24";16.46;"S594";89.74
"O647630";"C00004";"P0029";1;21.31;"2006-07-25";"Delivered";"Credit card";"East";0.15;"yherrera@arnold.org";"2014-06-25";"Female";"Gold";"Cleaning Product 69";"Cleaning";"2015-03-25";23.41;"S424";18.11
"O696293";"C00004";"P0005";3;29.73;"2006-07-25";"Delivered";"Credit card";"West";0.05;"yherrera@arnold.org";"2014-06-25";"Female";"Gold";"Personal Care Product 1";"Personal Care";"2020-10-24";31.1;"S559";84.73
"O565018";"C00005";"P0027";4;9.84;"2006-07-25";"Cancelled";"Bank transfer";"West";0.0;"janetwilliams@gmail.com";"2002-05-25";"Male";"Bronze";"Outdoors Product 55";"Outdoors";"2021-09-24";23.05;"S127";39.36
"O207515";"C00005";"P0014";3;15.59;"2006-07-25";"Delayed";"Credit card";"North";0.05;"janetwilliams@gmail.com";"2002-05-25";"Male";"Bronze";"Outdoors Product 91";"Outdoors";"2002-02-25";13.22;"S876";44.43
"O660348";"C00005";"P0021";1;17.79;"2006-07-25";"Delivered";"Credit card";"South";0.15;"janetwilliams@gmail.com";"2002-05-25";"Male";"Bronze";"Kitchen Product 70";"Kitchen";"2028-09-24";20.23;"S643";15.12
"O541621";"C00005";"P0003";2;19.76;"2006-07-25";"Delayed";"Credit card";"North";0.0;"janetwilliams@gmail.com";"2002-05-25";"Male";"Bronze";"Cleaning Product 85";"Cleaning";"2015-07-24";7.92;"S745";39.52
"O333120";"C00006";"P0027";1;45.44;"2006-07-25";"Delayed";"Credit card";"Central";0.1;"wyattmichelle@yahoo.com";"2021-10-24";"Male";"Bronze";"Outdoors Product 55";"Outdoors";"2021-09-24";23.05;"S127";40.9
"O824018";"C00007";"P0027";5;19.2;"2006-07-25";"Cancelled";"Credit card";"West";0.15;"francisco53@hotmail.com";"2017-10-24";"Female";"Gold";"Outdoors Product 55";"Outdoors";"2021-09-24";23.05;"S127";81.6
"O175225";"C00007";"P0021";1;13.04;"2006-07-25";"Delayed";"Credit card";"Central";0.05;"francisco53@hotmail.com";"2017-10-24";"Female";"Gold";"Kitchen Product 70";"Kitchen";"2028-09-24";20.23;"S643";12.39
"O955335";"C00007";"P0013";3;32.24;"2006-07-25";"Delivered";"Credit card";"Central";0.15;"francisco53@hotmail.com";"2017-10-24";"Female";"Gold";"Cleaning Product 94";"Cleaning";"2017-06-25";36.52;"S914";82.21
"O264824";"C00007";"P0024";1;47.42;"2006-07-25";"Delayed";"Credit card";"South";0.0;"francisco53@hotmail.com";"2017-10-24";"Female";"Gold";"Storage Product 87";"Storage";"2024-02-25";26.33;"S558";47.42
"O642221";"C00007";"P0012";4;23.19;"2006-07-25";"Delivered";"Credit card";"Central";0.05;"francisco53@hotmail.com";"2017-10-24";"Female";"Gold";"Cleaning Product 29";"Cleaning";"2019-04-25";14.67;"S481";88.12
"O405366";"C00008";"P0006";5;42.44;"2006-07-25";"Delivered";"Bank transfer";"North";0.05;"amandasanchez@gray-mayo.net";"2029-09-24";"Male";"Gold";"Cleaning Product 16";"Cleaning";"2009-10-24";36.06;"S980";201.59
"O330919";"C00008";"P0015";5;29.47;"2006-07-25";"Delayed";"Credit card";"East";0.2;"amandasanchez@gray-mayo.net";"2029-09-24";"Male";"Gold";"Storage Product 10";"Storage";"2008-08-24";39.21;"S466";117.88
"O601608";"C00008";"P0012";4;27.5;"2006-07-25";"Delivered";"Paypal";"East";0.2;"amandasanchez@gray-mayo.net";"2029-09-24";"Male";"Gold";"Cleaning Product 29";"Cleaning";"2019-04-25";14.67;"S481";88.0
